"","nombres","alfa","beta"
"1","BTC.USD",0.0776017988804554,0.919931347766338
"2","ETH.USD",0.090072769635036,0.841805482763031
"3","BNB.USD",0.166677405059602,0.794491068880451
"4","ADA.USD",0.16808885818797,0.772807115934089
"5","HEX.USD",0.154387020577728,0.729706169588573
"6","XRP.USD",0.131406288066197,0.867593687244898
"7","LUNA1.USD",0.143211783740772,0.855788216917312
"8","DOGE.USD",0.313438328915355,0.685561670224812
"9","MATIC.USD",0.130789988783177,0.819530237538177
"10","CRO.USD",0.154783275265745,0.844216711043083
"11","ALGO.USD",0.115956366674678,0.81834163859858
"12","LINK.USD",0.11338376614689,0.828418407538696
"13","BCH.USD",0.117161906568604,0.847091578640562
"14","MANA.USD",0.50983625934119,0.428731891063964
"15","HBAR.USD",0.177425120707091,0.809243842424263
"16","VET.USD",0.129483417455187,0.784080415862197
"17","FIL.USD",0.244833758374976,0.754166243205282
"18","THETA.USD",0.133077172978674,0.701464299512234
"19","ETC.USD",0.293369609956095,0.705630386948116
"20","XMR.USD",0.0725811447936142,0.850915913296122
"21","XTZ.USD",0.23838106318576,0.646771082862476
"22","MIOTA.USD",0.104256130092757,0.848727733945871
"23","LRC.USD",0.197766611625087,0.704393159817808
"24","KSM.USD",0.120823105251943,0.824953861138947
"25","RUNE.USD",0.131028049552522,0.800809621176048
"26","MKR.USD",0.131095034795686,0.799655877924995
"27","BSV.USD",0.303620850688031,0.695379114122877
"28","ENJ.USD",0.154206584895413,0.793014449063667
"29","QNT.USD",0.116388263658387,0.689025244730116
"30","ZEC.USD",0.165894996950866,0.656421046828287
"31","BAT.USD",0.177597200946213,0.75026617735819
"32","NEO.USD",0.140484569955415,0.820848364082584
"33","CHZ.USD",0.313518267769784,0.685481495034203
"34","WAVES.USD",0.201608754473797,0.797391203032823
"35","DASH.USD",0.212700036585813,0.786299899715685
"36","HOT1.USD",0.191888572393139,0.807111420621053
"37","RVN.USD",0.222944270090187,0.775626752884522
"38","XEM.USD",0.193825325262516,0.805174666486063
"39","VLX.USD",0.403142465346624,0.590470472863205
"40","GNO.USD",0.383596762595776,0.553289709272252
"41","QTUM.USD",0.140624121301797,0.791238207803811
"42","ANKR.USD",0.112584308111765,0.856212477759426
"43","ZIL.USD",0.103310441946815,0.808273739256357
"44","WAXP.USD",0.368869383466085,0.63013051813659
"45","OMG.USD",0.149577893253589,0.798938100045835
"46","ICX.USD",0.141188258510668,0.800458643787071
"47","VGX.USD",0.17809167272594,0.764865502242349
"48","SNX.USD",0.0969022789746868,0.817682205611259
"49","SC.USD",0.192879176517665,0.694402370408949
"50","ZEN.USD",0.13353936288315,0.836631756157008
"51","BTG.USD",0.157300611571169,0.841699367022031
